,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
1,frozenset({'Lacing thread'}),frozenset({'1000 series solvent IPA'}),0.15384615384615385,0.15384615384615385,0.1076923076923077,0.7,4.55,1.0,0.08402366863905325,2.8205128205128203,0.922077922077922,0.5384615384615384,0.6454545454545454,0.7
62,frozenset({'SS Square Nut M4'}),frozenset({'Nylon washer M2.5'}),0.15384615384615385,0.15384615384615385,0.1076923076923077,0.7,4.55,1.0,0.08402366863905325,2.8205128205128203,0.922077922077922,0.5384615384615384,0.6454545454545454,0.7
0,frozenset({'1000 series solvent IPA'}),frozenset({'Lacing thread'}),0.15384615384615385,0.15384615384615385,0.1076923076923077,0.7,4.55,1.0,0.08402366863905325,2.8205128205128203,0.922077922077922,0.5384615384615384,0.6454545454545454,0.7
25,frozenset({'Nylon washer M2.5'}),frozenset({'Lacing thread'}),0.15384615384615385,0.15384615384615385,0.1076923076923077,0.7,4.55,1.0,0.08402366863905325,2.8205128205128203,0.922077922077922,0.5384615384615384,0.6454545454545454,0.7
6,frozenset({'1000 series solvent IPA'}),frozenset({'SS Square Nut M4'}),0.15384615384615385,0.15384615384615385,0.1076923076923077,0.7,4.55,1.0,0.08402366863905325,2.8205128205128203,0.922077922077922,0.5384615384615384,0.6454545454545454,0.7
7,frozenset({'SS Square Nut M4'}),frozenset({'1000 series solvent IPA'}),0.15384615384615385,0.15384615384615385,0.1076923076923077,0.7,4.55,1.0,0.08402366863905325,2.8205128205128203,0.922077922077922,0.5384615384615384,0.6454545454545454,0.7
8,frozenset({'1000 series solvent IPA'}),frozenset({'Ss Plain Washer M4'}),0.15384615384615385,0.15384615384615385,0.1076923076923077,0.7,4.55,1.0,0.08402366863905325,2.8205128205128203,0.922077922077922,0.5384615384615384,0.6454545454545454,0.7
24,frozenset({'Lacing thread'}),frozenset({'Nylon washer M2.5'}),0.15384615384615385,0.15384615384615385,0.1076923076923077,0.7,4.55,1.0,0.08402366863905325,2.8205128205128203,0.922077922077922,0.5384615384615384,0.6454545454545454,0.7
9,frozenset({'Ss Plain Washer M4'}),frozenset({'1000 series solvent IPA'}),0.15384615384615385,0.15384615384615385,0.1076923076923077,0.7,4.55,1.0,0.08402366863905325,2.8205128205128203,0.922077922077922,0.5384615384615384,0.6454545454545454,0.7
48,frozenset({'SS Square Nut M4'}),frozenset({'Nylon Washer M3'}),0.15384615384615385,0.18461538461538463,0.12307692307692308,0.8,4.333333333333333,1.0,0.09467455621301776,4.0769230769230775,0.9090909090909091,0.5714285714285714,0.7547169811320755,0.7333333333333334
49,frozenset({'Nylon Washer M3'}),frozenset({'SS Square Nut M4'}),0.18461538461538463,0.15384615384615385,0.12307692307692308,0.6666666666666666,4.333333333333333,1.0,0.09467455621301776,2.5384615384615383,0.9433962264150944,0.5714285714285714,0.606060606060606,0.7333333333333334
54,frozenset({'XT-60H Male Connectors'}),frozenset({'Nylon Washer M3'}),0.13846153846153847,0.18461538461538463,0.1076923076923077,0.7777777777777778,4.212962962962963,1.0,0.0821301775147929,3.6692307692307695,0.8852040816326531,0.5,0.7274633123689728,0.6805555555555556
73,frozenset({'SS Hex Nut M2.5'}),frozenset({'SS Hex Nut M2'}),0.18461538461538463,0.13846153846153847,0.1076923076923077,0.5833333333333334,4.212962962962963,1.0,0.0821301775147929,2.067692307692308,0.9353099730458222,0.5,0.5163690476190477,0.6805555555555556
36,frozenset({'Masking tape 1 inch'}),frozenset({'Nylon Washer M3'}),0.13846153846153847,0.18461538461538463,0.1076923076923077,0.7777777777777778,4.212962962962963,1.0,0.0821301775147929,3.6692307692307695,0.8852040816326531,0.5,0.7274633123689728,0.6805555555555556
96,"frozenset({'Nylon Washer M3', 'Lacing thread'})",frozenset({'SS Hex Nut M2.5'}),0.13846153846153847,0.18461538461538463,0.1076923076923077,0.7777777777777778,4.212962962962963,1.0,0.0821301775147929,3.6692307692307695,0.8852040816326531,0.5,0.7274633123689728,0.6805555555555556
